Account Name,JANE DOE,,,,,,,,,,,,,,,,,,,,,,,
Address,"Main Street, Raleigh, NC",,,,,,,,,,,,,,,,,,,,,,,
Account Number,111-111,,,,,,,,,,,,,,,,,,,,,,,
Disclaimer,The information contained in this file is intended for the personal and confidential use of the recipient(s) named above.  Any unauthorized use is prohibited.,,,,,,,,,,,,,,,,,,,,,,,
Graph Title,Hourly Energy Usage ,,,,,,,,,,,,,,,,,,,,,,,
Meter Number,ELECTRIC - 111,,,,,,,,,,,,,,,,,,,,,,,
Selected Date,11/22/2020,,,,,,,,,,,,,,,,,,,,,,,
Selected Period,Week,,,,,,,,,,,,,,,,,,,,,,,
Primary Data Unit,kWh,,,,,,,,,,,,,,,,,,,,,,,
Secondary Data Unit,-,,,,,,,,,,,,,,,,,,,,,,,
Tertiary Data Unit,-,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
11/22/2020,0.85,0.24,0.2,0.14,0.07,0.07,0.15,0.17,0.1,0.14,0.29,0.3,0.14,0.15,0.26,0.27,0.3,0.38,0.49,0.46,0.52,0.44,0.34,0.33
11/23/2020,0.15,0.21,0.15,0.1,0.15,0.09,0.15,0.1,0.3,0.2,0.25,0.51,0.4,0.29,0.34,0.22,0.25,0.47,0.41,0.56,0.42,0.48,0.46,0.45
11/24/2020,0.48,0.21,0.1,0.07,0.13,0.1,0.24,0.14,0.32,0.23,0.24,0.87,0.28,0.25,0.22,0.22,0.56,1.24,0.59,0.3,0.4,0.52,0.69,0.83
11/25/2020,0.82,0.72,0.74,0.7,0.71,0.73,0.69,0.79,0.4,0.22,0.22,0.62,0.32,0.17,0.23,0.2,0.31,0.3,0.37,0.16,0.34,0.58,0.84,0.85
11/26/2020,0.76,0.8,0.6,0.11,0.13,0.07,0.13,0.12,0.4,0.56,0.16,1.25,2.03,0.68,0.24,0.23,0.29,0.54,0.35,0.79,0.8,0.83,0.28,0.26
11/27/2020,0.15,0.19,0.11,0.14,0.12,0.1,0.15,0.08,0.19,0.18,0.2,0.38,0.49,0.19,0.19,0.31,0.57,0.48,0.29,0.37,0.24,0.31,0.24,0.25
11/28/2020,0.14,0.16,0.12,0.09,0.22,0.13,0.13,0.09,0.14,0.19,0.19,0.14,0.43,0.21,0.11,0.16,0.09,0.35,0.43,0.44,0.41,0.64,0.91,0.56
