Account Name,JANE DOE,,,,,,,,,,,,,,,,,,,,,,,
Address,"Main Street, Raleigh, NC",,,,,,,,,,,,,,,,,,,,,,,
Account Number,111-111,,,,,,,,,,,,,,,,,,,,,,,
Disclaimer,The information contained in this file is intended for the personal and confidential use of the recipient(s) named above.  Any unauthorized use is prohibited.,,,,,,,,,,,,,,,,,,,,,,,
Graph Title,Hourly Energy Usage ,,,,,,,,,,,,,,,,,,,,,,,
Meter Number,ELECTRIC - 111,,,,,,,,,,,,,,,,,,,,,,,
Selected Date,11/1/2020,,,,,,,,,,,,,,,,,,,,,,,
Selected Period,Week,,,,,,,,,,,,,,,,,,,,,,,
Primary Data Unit,kWh,,,,,,,,,,,,,,,,,,,,,,,
Secondary Data Unit,-,,,,,,,,,,,,,,,,,,,,,,,
Tertiary Data Unit,-,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
11/1/2020,0.22,0.22,0.23,0.12,0.07,0.08,0.19,0.13,0.09,0.11,0.58,0.17,0.18,0.24,0.15,0.2,0.12,0.4,0.29,0.42,0.36,0.4,0.25,0.23
11/2/2020,0.18,0.2,0.09,0.23,0.16,0.07,0.08,0.18,0.09,0.15,0.28,0.2,0.36,0.43,0.27,0.33,0.17,0.25,0.43,0.34,0.35,0.44,1.1,0.28
11/3/2020,0.39,0.15,0.08,0.08,0.19,0.1,0.07,0.12,0.32,0.28,0.18,0.17,0.71,0.26,0.17,0.2,0.29,0.18,0.13,0.55,0.47,0.37,0.7,0.67
11/4/2020,0.18,0.16,0.15,0.07,0.1,0.19,0.09,0.07,0.21,0.23,0.18,0.17,0.27,0.32,0.23,0.17,0.17,0.28,0.28,0.64,0.39,0.63,1.1,0.67
11/5/2020,0.24,0.11,0.07,0.13,0.19,0.24,0.18,0.1,0.08,0.34,0.24,0.29,0.68,0.25,0.15,0.18,0.3,0.39,0.32,0.43,0.41,0.31,0.26,0.28
11/6/2020,0.18,0.14,0.18,0.07,0.14,0.12,0.07,0.18,0.09,0.23,0.24,0.29,0.56,0.22,0.24,0.16,0.1,0.22,0.49,0.51,0.38,0.32,0.41,0.28
11/7/2020,0.26,,,,,,,,,,,,,,,,,,,,,,,
